Id	Name	Version	CreatedBy	CreationDate	ModifiedBy	ModifiedDate	Vendor	Mode	UpdateAvailable	Artifact_Type	Artifact_ID	Artifact_Name	Artifact_Version	Artifact_CreatedBy	Artifact_CreatedAt	Artifact_ModifiedBy	Artifact_ModifiedAt	Artifact_Description	Artifact_PackageID
FigafIRTinfrastructure	Connector for Figaf DevOps Tool	2411	mika.paulus@accenture.com	20.02.2025 09:19	mika.paulus@accenture.com	20.02.2025 09:19	Figaf ApS	READ_ONLY	FALSE	Integration Flow	Figaf_HTTP_to_JMS	Figaf HTTP to JMS	23. Apr	mika.paulus@accenture.com	20.02.2025 09:19	mika.paulus@accenture.com	20.02.2025 09:19	 HTTP to JMS bridge used during the testing of iflow. 	FigafIRTinfrastructure
FigafIRTinfrastructure	Connector for Figaf DevOps Tool	2411	mika.paulus@accenture.com	20.02.2025 09:19	mika.paulus@accenture.com	20.02.2025 09:19	Figaf ApS	READ_ONLY	FALSE	Integration Flow	IRTHTTPtoProcessDirect	Figaf HTTP to ProcessDirect	2411	mika.paulus@accenture.com	20.02.2025 09:19	mika.paulus@accenture.com	20.02.2025 09:19	 HTTP to Process Direct bridge used during the testing of iflow. 	FigafIRTinfrastructure
FigafIRTinfrastructure	Connector for Figaf DevOps Tool	2411	mika.paulus@accenture.com	20.02.2025 09:19	mika.paulus@accenture.com	20.02.2025 09:19	Figaf ApS	READ_ONLY	FALSE	Integration Flow	LatencyTest	Latency Test	21.12.2001	mika.paulus@accenture.com	20.02.2025 09:19	mika.paulus@accenture.com	20.02.2025 09:19	 Iflow used to test latency for Figaf DevOps Tool	FigafIRTinfrastructure
FigafIRTinfrastructure	Connector for Figaf DevOps Tool	2411	mika.paulus@accenture.com	20.02.2025 09:19	mika.paulus@accenture.com	20.02.2025 09:19	Figaf ApS	READ_ONLY	FALSE	Message Mapping	Figaf_HTTP_to_JMS	Figaf HTTP to JMS	23. Apr	mika.paulus@accenture.com	20.02.2025 09:19	mika.paulus@accenture.com	20.02.2025 09:19	 HTTP to JMS bridge used during the testing of iflow. 	FigafIRTinfrastructure
FigafIRTinfrastructure	Connector for Figaf DevOps Tool	2411	mika.paulus@accenture.com	20.02.2025 09:19	mika.paulus@accenture.com	20.02.2025 09:19	Figaf ApS	READ_ONLY	FALSE	Message Mapping	IRTHTTPtoProcessDirect	Figaf HTTP to ProcessDirect	2411	mika.paulus@accenture.com	20.02.2025 09:19	mika.paulus@accenture.com	20.02.2025 09:19	 HTTP to Process Direct bridge used during the testing of iflow. 	FigafIRTinfrastructure
FigafIRTinfrastructure	Connector for Figaf DevOps Tool	2411	mika.paulus@accenture.com	20.02.2025 09:19	mika.paulus@accenture.com	20.02.2025 09:19	Figaf ApS	READ_ONLY	FALSE	Message Mapping	LatencyTest	Latency Test	21.12.2001	mika.paulus@accenture.com	20.02.2025 09:19	mika.paulus@accenture.com	20.02.2025 09:19	 Iflow used to test latency for Figaf DevOps Tool	FigafIRTinfrastructure
FigafIRTinfrastructure	Connector for Figaf DevOps Tool	2411	mika.paulus@accenture.com	20.02.2025 09:19	mika.paulus@accenture.com	20.02.2025 09:19	Figaf ApS	READ_ONLY	FALSE	Script Collection	FigafMigration	Figaf Migration Script	23. Mai					Script to create error handling for Figaf Migration Tool 	FigafIRTinfrastructure
EmptyPackage	Empty Package	1.0.0	mika.paulus@accenture.com	04.02.2025 12:44	mika.paulus@accenture.com	05.02.2025 12:42	Mika John Paulus	EDIT_ALLOWED	FALSE										
IntegrationFlowsforBusinessAcceleratorHub	Integration Flows for Business Accelerator Hub	1.0.0	mika.paulus@accenture.com	03.02.2025 16:16	mika.paulus@accenture.com	19.02.2025 12:21	Mika Paulus	EDIT_ALLOWED	FALSE	Integration Flow	Integration_Flow_Catalog_Creation	Integration Flow Catalog Creation	Active	mika.paulus@accenture.com	03.02.2025 16:18	mika.paulus@accenture.com	19.02.2025 15:46	Creates a catalog of all Integration Flows across the Integration Suite tenant	IntegrationFlowsforBusinessAcceleratorHub
IntegrationFlowsforBusinessAcceleratorHub	Integration Flows for Business Accelerator Hub	1.0.0	mika.paulus@accenture.com	03.02.2025 16:16	mika.paulus@accenture.com	19.02.2025 12:21	Mika Paulus	EDIT_ALLOWED	FALSE	Message Mapping	Integration_Flow_Catalog_Creation	Integration Flow Catalog Creation	Active	mika.paulus@accenture.com	03.02.2025 16:18	mika.paulus@accenture.com	19.02.2025 15:46	Creates a catalog of all Integration Flows across the Integration Suite tenant	IntegrationFlowsforBusinessAcceleratorHub
